idx,title,etc,description,rating,review_sadness,review_joy,review_fear,review_disgust,review_anger,url
0,Zack Snyder's Justice League,Action Adventure Fantasy,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",10,0.101866,0.612359,0.042446,0.031486,0.011162,https://whatdoido.kro.kr/movie/0.jpg
1,Avengers: Endgame,Action Adventure Drama,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",1,0.420253,0.104184,0.50252,0.170522,0.076802,https://whatdoido.kro.kr/movie/1.jpg
2,Sound of Metal,Drama Music,A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.,,0.117889,0.777012,0.020969,0.007879,0.036071,https://whatdoido.kro.kr/movie/2.jpg
3,The Trial of the Chicago 7,Drama History Thriller,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.",8,0.078815,0.756471,0.065774,0.087054,0.02815,https://whatdoido.kro.kr/movie/3.jpg
4,Soul,Animation Adventure Comedy,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.",10,0.073239,0.827449,0.027331,0.031462,0.032511,https://whatdoido.kro.kr/movie/4.jpg
5,Sleepers,Crime Drama Thriller,"After a prank goes disastrously wrong, a group of boys are sent to a detention center where they are brutalized. Thirteen years later, an unexpected random encounter with a former guard gives them a chance for revenge.",6,0.256426,0.242192,0.373116,0.101274,0.243351,https://whatdoido.kro.kr/movie/5.jpg
6,Knives Out,Comedy Crime Drama,"A detective investigates the death of a patriarch of an eccentric, combative family.",5,0.268492,0.195009,0.252744,0.142994,0.366089,https://whatdoido.kro.kr/movie/6.jpg
7,The Shawshank Redemption,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",9,0.043982,0.599932,0.018476,0.223198,0.07897,https://whatdoido.kro.kr/movie/7.jpg
8,The Dark Knight,Action Crime Drama,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",10,0.03099,0.85282,0.067019,0.018201,0.030686,https://whatdoido.kro.kr/movie/8.jpg
9,Avengers: Infinity War,Action Adventure Sci-Fi,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,10,0.340197,0.604696,0.038112,0.003983,0.013565,https://whatdoido.kro.kr/movie/9.jpg
10,The Gentlemen,Action Comedy Crime,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",8,0.090394,0.737535,0.084972,0.053853,0.017121,https://whatdoido.kro.kr/movie/10.jpg
11,Harry Potter and the Sorcerer's Stone,Adventure Family Fantasy,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",9,0.465515,0.351728,0.10636,0.148262,0.063058,https://whatdoido.kro.kr/movie/11.jpg
12,Joker,Crime Drama Thriller,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",10,0.182215,0.386218,0.173521,0.106123,0.172062,https://whatdoido.kro.kr/movie/12.jpg
13,The Sound of Music,Biography Drama Family,A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.,10,0.008013,0.936173,0.020155,0.012533,0.030963,https://whatdoido.kro.kr/movie/13.jpg
14,Guardians of the Galaxy,Action Adventure Comedy,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,9,0.064454,0.831038,0.016699,0.020763,0.028418,https://whatdoido.kro.kr/movie/14.jpg
15,Blade Runner 2049,Action Drama Mystery,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",,0.539984,0.020675,0.185885,0.021626,0.099822,https://whatdoido.kro.kr/movie/15.jpg
16,Watchmen,Action Drama Mystery,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",10,0.131241,0.75285,0.02449,0.010425,0.03453,https://whatdoido.kro.kr/movie/16.jpg
17,Pulp Fiction,Crime Drama,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",10,0.023491,0.911224,0.015867,0.009087,0.029085,https://whatdoido.kro.kr/movie/17.jpg
18,The Lord of the Rings: The Fellowship of the Ring,Action Adventure Drama,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,10,0.168094,0.550172,0.090641,0.202628,0.097406,https://whatdoido.kro.kr/movie/18.jpg
19,Captain America: Civil War,Action Adventure Sci-Fi,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,9,0.079898,0.778433,0.016592,0.062629,0.054497,https://whatdoido.kro.kr/movie/19.jpg
